case,status,theta2_nom_deg,stride_mm,longest_stride_mm @ D29 width 45.8800,binding_bar @ D29 width 45.8800,half_stride_limit_mm@torque,half_stride_limit_mm@vertical,half_stride_limit_mm@posed coxa,half_stride_limit_mm@D29 width 45.8800,longest_stride_mm @ D29 width 45.3800,binding_bar @ D29 width 45.3800,half_stride_limit_mm@D29 width 45.3800,longest_stride_mm @ D29 width 51.0000,binding_bar @ D29 width 51.0000,half_stride_limit_mm@D29 width 51.0000,longest_stride_mm @ D29 width 56.0000,binding_bar @ D29 width 56.0000,half_stride_limit_mm@D29 width 56.0000,"tau_x_margin_kgcm (D209, D420 cl.1)",torque_bar_passes,vertical_total_mm (D425 cl.3),vertical_bar_passes,femur_theta2_min_deg,femur_theta2_max_deg,"femur_window_passes (D248, still in force)",coxa_bar_source,corner_coxa_from_mount_deg,corner_coxa_bound_deg,corner_coxa_margin_deg (stance only),middle_coxa_from_mount_deg,middle_coxa_bound_deg,middle_coxa_note,posed_coxa_bar_passes,body_note,d29_min_link_distance_mm (centre-line),d29_handover_pose_b_mm (stance only),d29_closest_links,d29_phase,d29_minimum_at_handover,d29_swing_model,d29_width_label,d29_envelope_label,d29_clearance_mm @ width 45.8800,d29_bar_passes @ width 45.8800 (clearance > -1e-9 mm),d29_clearance_mm @ width 45.3800,d29_bar_passes @ width 45.3800 (clearance > -1e-9 mm),d29_clearance_mm @ width 51.0000,d29_bar_passes @ width 51.0000 (clearance > -1e-9 mm),d29_clearance_mm @ width 56.0000,d29_bar_passes @ width 56.0000 (clearance > -1e-9 mm),overshoot_quantity,"overshoot_budget_deg @ this stride, width 45.8800","overshoot_budget_deg @ this stride, width 45.3800","overshoot_budget_deg @ this stride, width 51.0000","overshoot_budget_deg @ this stride, width 56.0000",shipped_60.0000_passes_torque_vertical_posed_coxa,"overshoot_budget_deg @ shipped 60.0000, width 45.8800","overshoot_budget_deg @ shipped 60.0000, width 45.3800","overshoot_budget_deg @ shipped 60.0000, width 51.0000","overshoot_budget_deg @ shipped 60.0000, width 56.0000",r_nom_mm,body_height_mm,theta_nom_deg,theta_extreme_deg,theta_midswing_deg,theta_span_deg,femur_travel_swing_deg,coxa_sweep_deg,femur_coxa_ratio_swing_avg,cobinding_clearance_mm,cobinding_clearance_mm@span_named_d104,bob_mm,a_eff_extreme_mm,tau_femur_peak_kgcm,swing_duration_ms,cycle_duration_ms,foot_dz_per_quantum_mm@command_step_deg,foot_dz_per_quantum_mm@joint_accuracy_deg,swing_columns_model,rows_12_13_profile,"swing_duration_understated (ratio < 1, D425 cl.6)"
"knee @ width 45.8800, longest stride",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9),71.1521,58.9690,58.9690,torque + D29,29.4845,34.9504,73.7320,29.4845,58.9690,torque,29.7490,53.5803,D29,26.7902,48.3591,D29,24.1796,20.0000,yes,4.0956,yes,63.8480,71.1521,yes,"Spider Hardware, STEP model, posed at 80.0000 / -30.0000, surface proximity, lower bound, swing not included, wiring not modelled, provisional (D436 cl.3); corner the worst of 71.06 / 71.91 / 71.41 / 71.38; measured at 80.0000 and applied at every posture",56.0649,71.0600,14.9951,11.0649,95.0000,"no contact against a resting neighbour within +/-95 deg, at least 16.8 mm of clearance beyond 60 deg (D436 cl.3): never binds - the middle coxa sits at atan(s / r_nom) < 90 deg from its mount",yes,"body sweep not re-run, INFERRED unchanged (D436 cl.3): reported, not a bar",45.8800,45.8800,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),yes,"level-body, body-frame progress; CONTINUOUS WITH STANCE: the swinging foot is solved against the level body's height at that instant, so lift-off and touch-down are the stance extremes (pose (b)), not the mid-stance height (FINDING_24 sec.1, D437 cl.8), zero overshoot","calibrated at pose (c), 80.0000 deg, femurs 80.0000 deg, worst closing pair, exact B-rep, wiring not modelled, one pose, provisional (D437 cl.4): 46.5699 - 0.686 = 45.8839, ruled 45.88; least conservative pair 46.5699 - 1.192 = 45.3779, reported as 45.38; pose (b) pending (D437 cl.6)","envelope bound: femur 51.00 mm, tibia 56.00 mm wide (D436 cl.4)",0.0000,yes,0.5000,yes,-5.1200,NO,-10.1200,NO,"overshoot in sim/interleg.py's parameterisation: coxa carried beyond its stance extreme by o AT the contact instant, foot on the ground, decaying as cos(pi*u) to zero at mid-swing - NOT P8's excursion, which is zero at contact and peaks tau* into the swing with the foot lifted",0.0000,0.1915,contact at zero overshoot,contact at zero overshoot,NO,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,150.7720,144.3342,52.9979,51.8555,45.6938,7.3041,12.3235,22.1299,1.7957,26.2633,51.6080,2.1972,111.6279,8.0000,139.0461,278.0922,0.2563,1.8984,"level-body, body-frame progress","rows swing_duration_ms and cycle_duration_ms assume D145's half-sine; P8's peak/mean is 1.0491-1.4148 against pi/2, flagged not adopted (D430 clause 5, HANDOFF_87)",NO
"sample, longest stride",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9),75.0000,59.0412,59.0412,D29,61.3626,37.2413,68.8754,29.5206,59.5715,D29,29.7857,53.6427,D29,26.8214,48.4155,D29,24.2077,18.2573,yes,3.7691,yes,67.1102,75.0000,yes,"Spider Hardware, STEP model, posed at 80.0000 / -30.0000, surface proximity, lower bound, swing not included, wiring not modelled, provisional (D436 cl.3); corner the worst of 71.06 / 71.91 / 71.41 / 71.38; measured at 80.0000 and applied at every posture",56.8380,71.0600,14.2220,11.8380,95.0000,"no contact against a resting neighbour within +/-95 deg, at least 16.8 mm of clearance beyond 60 deg (D436 cl.3): never binds - the middle coxa sits at atan(s / r_nom) < 90 deg from its mount",yes,"body sweep not re-run, INFERRED unchanged (D436 cl.3): reported, not a bar",45.8800,45.8800,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),yes,"level-body, body-frame progress; CONTINUOUS WITH STANCE: the swinging foot is solved against the level body's height at that instant, so lift-off and touch-down are the stance extremes (pose (b)), not the mid-stance height (FINDING_24 sec.1, D437 cl.8), zero overshoot","calibrated at pose (c), 80.0000 deg, femurs 80.0000 deg, worst closing pair, exact B-rep, wiring not modelled, one pose, provisional (D437 cl.4): 46.5699 - 0.686 = 45.8839, ruled 45.88; least conservative pair 46.5699 - 1.192 = 45.3779, reported as 45.38; pose (b) pending (D437 cl.6)","envelope bound: femur 51.00 mm, tibia 56.00 mm wide (D436 cl.4)",0.0000,yes,0.5000,yes,-5.1200,NO,-10.1200,NO,"overshoot in sim/interleg.py's parameterisation: coxa carried beyond its stance extreme by o AT the contact instant, foot on the ground, decaying as cos(pi*u) to zero at mid-swing - NOT P8's excursion, which is zero at contact and peaks tau* into the swing with the foot lifted",0.0000,0.2036,contact at zero overshoot,contact at zero overshoot,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,140.8409,151.3083,56.8457,55.6790,48.9559,7.8898,13.4460,23.6759,1.7608,26.1232,52.4263,2.0440,101.9015,7.3029,148.7602,297.5204,0.2329,1.7251,"level-body, body-frame progress","rows swing_duration_ms and cycle_duration_ms assume D145's half-sine; P8's peak/mean is 1.0491-1.4148 against pi/2, flagged not adopted (D430 clause 5, HANDOFF_87)",NO
"sample, longest stride",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9),77.1765,59.0770,59.0770,D29,73.2820,38.5885,66.0304,29.5385,59.6079,D29,29.8040,53.6734,D29,26.8367,48.4432,D29,24.2216,17.2388,yes,3.5859,yes,68.9023,77.1765,yes,"Spider Hardware, STEP model, posed at 80.0000 / -30.0000, surface proximity, lower bound, swing not included, wiring not modelled, provisional (D436 cl.3); corner the worst of 71.06 / 71.91 / 71.41 / 71.38; measured at 80.0000 and applied at every posture",57.3400,71.0600,13.7200,12.3400,95.0000,"no contact against a resting neighbour within +/-95 deg, at least 16.8 mm of clearance beyond 60 deg (D436 cl.3): never binds - the middle coxa sits at atan(s / r_nom) < 90 deg from its mount",yes,"body sweep not re-run, INFERRED unchanged (D436 cl.3): reported, not a bar",45.8800,45.8800,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),yes,"level-body, body-frame progress; CONTINUOUS WITH STANCE: the swinging foot is solved against the level body's height at that instant, so lift-off and touch-down are the stance extremes (pose (b)), not the mid-stance height (FINDING_24 sec.1, D437 cl.8), zero overshoot","calibrated at pose (c), 80.0000 deg, femurs 80.0000 deg, worst closing pair, exact B-rep, wiring not modelled, one pose, provisional (D437 cl.4): 46.5699 - 0.686 = 45.8839, ruled 45.88; least conservative pair 46.5699 - 1.192 = 45.3779, reported as 45.38; pose (b) pending (D437 cl.6)","envelope bound: femur 51.00 mm, tibia 56.00 mm wide (D436 cl.4)",0.0000,yes,0.5000,yes,-5.1200,NO,-10.1200,NO,"overshoot in sim/interleg.py's parameterisation: coxa carried beyond its stance extreme by o AT the contact instant, foot on the ground, decaying as cos(pi*u) to zero at mid-swing - NOT P8's excursion, which is zero at contact and peaks tau* into the swing with the foot lifted",0.0000,0.2115,contact at zero overshoot,contact at zero overshoot,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,135.0232,154.9529,59.0222,57.8340,50.7480,8.2742,14.1720,24.6799,1.7415,26.0595,52.9960,1.9623,96.2165,6.8955,155.0685,310.1370,0.2192,1.6236,"level-body, body-frame progress","rows swing_duration_ms and cycle_duration_ms assume D145's half-sine; P8's peak/mean is 1.0491-1.4148 against pi/2, flagged not adopted (D430 clause 5, HANDOFF_87)",NO
"sample, longest stride",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9),80.0000,59.1174,59.1174,D29,86.0348,40.4057,62.2424,29.5587,59.6491,D29,29.8245,53.7079,D29,26.8539,48.4743,D29,24.2372,15.8858,yes,3.3480,yes,71.1589,80.0000,yes,"Spider Hardware, STEP model, posed at 80.0000 / -30.0000, surface proximity, lower bound, swing not included, wiring not modelled, provisional (D436 cl.3); corner the worst of 71.06 / 71.91 / 71.41 / 71.38; measured at 80.0000 and applied at every posture",58.0745,71.0600,12.9855,13.0745,95.0000,"no contact against a resting neighbour within +/-95 deg, at least 16.8 mm of clearance beyond 60 deg (D436 cl.3): never binds - the middle coxa sits at atan(s / r_nom) < 90 deg from its mount",yes,"body sweep not re-run, INFERRED unchanged (D436 cl.3): reported, not a bar",45.8800,45.8800,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),yes,"level-body, body-frame progress; CONTINUOUS WITH STANCE: the swinging foot is solved against the level body's height at that instant, so lift-off and touch-down are the stance extremes (pose (b)), not the mid-stance height (FINDING_24 sec.1, D437 cl.8), zero overshoot","calibrated at pose (c), 80.0000 deg, femurs 80.0000 deg, worst closing pair, exact B-rep, wiring not modelled, one pose, provisional (D437 cl.4): 46.5699 - 0.686 = 45.8839, ruled 45.88; least conservative pair 46.5699 - 1.192 = 45.3779, reported as 45.38; pose (b) pending (D437 cl.6)","envelope bound: femur 51.00 mm, tibia 56.00 mm wide (D436 cl.4)",0.0000,yes,0.5000,yes,-5.1200,NO,-10.1200,NO,"overshoot in sim/interleg.py's parameterisation: coxa carried beyond its stance extreme by o AT the contact instant, foot on the ground, decaying as cos(pi*u) to zero at mid-swing - NOT P8's excursion, which is zero at contact and peaks tau* into the swing with the foot lifted",0.0000,0.2230,contact at zero overshoot,contact at zero overshoot,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,127.2774,159.3470,61.8457,60.6207,53.0046,8.8411,15.2321,26.1490,1.7167,25.9997,53.8914,1.8596,88.6647,6.3543,164.2991,328.5981,0.2009,1.4884,"level-body, body-frame progress","rows swing_duration_ms and cycle_duration_ms assume D145's half-sine; P8's peak/mean is 1.0491-1.4148 against pi/2, flagged not adopted (D430 clause 5, HANDOFF_87)",NO
"sample, longest stride",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9),85.0000,59.1712,59.1712,D29,104.0089,43.8817,55.2921,29.5856,59.7040,D29,29.8520,53.7533,D29,26.8766,48.5152,D29,24.2576,13.4145,yes,2.9204,yes,74.9217,85.0000,yes,"Spider Hardware, STEP model, posed at 80.0000 / -30.0000, surface proximity, lower bound, swing not included, wiring not modelled, provisional (D436 cl.3); corner the worst of 71.06 / 71.91 / 71.41 / 71.38; measured at 80.0000 and applied at every posture",59.6638,71.0600,11.3962,14.6638,95.0000,"no contact against a resting neighbour within +/-95 deg, at least 16.8 mm of clearance beyond 60 deg (D436 cl.3): never binds - the middle coxa sits at atan(s / r_nom) < 90 deg from its mount",yes,"body sweep not re-run, INFERRED unchanged (D436 cl.3): reported, not a bar",45.8800,45.8800,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),yes,"level-body, body-frame progress; CONTINUOUS WITH STANCE: the swinging foot is solved against the level body's height at that instant, so lift-off and touch-down are the stance extremes (pose (b)), not the mid-stance height (FINDING_24 sec.1, D437 cl.8), zero overshoot","calibrated at pose (c), 80.0000 deg, femurs 80.0000 deg, worst closing pair, exact B-rep, wiring not modelled, one pose, provisional (D437 cl.4): 46.5699 - 0.686 = 45.8839, ruled 45.88; least conservative pair 46.5699 - 1.192 = 45.3779, reported as 45.38; pose (b) pending (D437 cl.6)","envelope bound: femur 51.00 mm, tibia 56.00 mm wide (D436 cl.4)",0.0000,yes,0.5000,yes,-5.1200,NO,-10.1200,NO,"overshoot in sim/interleg.py's parameterisation: coxa carried beyond its stance extreme by o AT the contact instant, foot on the ground, decaying as cos(pi*u) to zero at mid-swing - NOT P8's excursion, which is zero at contact and peaks tau* into the swing with the foot lifted",0.0000,0.2478,contact at zero overshoot,contact at zero overshoot,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,113.0649,166.1731,66.8457,65.5266,56.7675,10.0783,17.5182,29.3275,1.6741,25.9914,56.1054,1.6801,74.8717,5.3658,184.2703,368.5406,0.1674,1.2403,"level-body, body-frame progress","rows swing_duration_ms and cycle_duration_ms assume D145's half-sine; P8's peak/mean is 1.0491-1.4148 against pi/2, flagged not adopted (D430 clause 5, HANDOFF_87)",NO
"sample, longest stride",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9),89.0000,59.1130,59.1130,D29,115.4981,47.0069,49.5388,29.5565,59.6484,D29,29.8242,53.6654,D29,26.8327,48.3938,D29,24.1969,11.3814,yes,2.5612,yes,77.6558,89.0000,yes,"Spider Hardware, STEP model, posed at 80.0000 / -30.0000, surface proximity, lower bound, swing not included, wiring not modelled, provisional (D436 cl.3); corner the worst of 71.06 / 71.91 / 71.41 / 71.38; measured at 80.0000 and applied at every posture",61.2657,71.0600,9.7943,16.2657,95.0000,"no contact against a resting neighbour within +/-95 deg, at least 16.8 mm of clearance beyond 60 deg (D436 cl.3): never binds - the middle coxa sits at atan(s / r_nom) < 90 deg from its mount",yes,"body sweep not re-run, INFERRED unchanged (D436 cl.3): reported, not a bar",45.8800,45.9596,"swing, 0.0079 of a cycle from a hand-over (tau 0.0158 after lift-off, or before touch-down): the four closing pairs tie as mirror images",0.0079,NO,"level-body, body-frame progress; CONTINUOUS WITH STANCE: the swinging foot is solved against the level body's height at that instant, so lift-off and touch-down are the stance extremes (pose (b)), not the mid-stance height (FINDING_24 sec.1, D437 cl.8), zero overshoot","calibrated at pose (c), 80.0000 deg, femurs 80.0000 deg, worst closing pair, exact B-rep, wiring not modelled, one pose, provisional (D437 cl.4): 46.5699 - 0.686 = 45.8839, ruled 45.88; least conservative pair 46.5699 - 1.192 = 45.3779, reported as 45.38; pose (b) pending (D437 cl.6)","envelope bound: femur 51.00 mm, tibia 56.00 mm wide (D436 cl.4)",0.0000,yes,0.5000,yes,-5.1200,NO,-10.1200,NO,"overshoot in sim/interleg.py's parameterisation: coxa carried beyond its stance extreme by o AT the contact instant, foot on the ground, decaying as cos(pi*u) to zero at mid-swing - NOT P8's excursion, which is zero at contact and peaks tau* into the swing with the foot lifted",0.0000,0.3166,contact at zero overshoot,contact at zero overshoot,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,101.3002,170.7255,70.8457,69.4219,59.5015,11.3442,19.8409,32.5315,1.6396,26.0913,58.6769,1.5262,63.5240,4.5526,204.4013,408.8026,0.1397,1.0350,"level-body, body-frame progress","rows swing_duration_ms and cycle_duration_ms assume D145's half-sine; P8's peak/mean is 1.0491-1.4148 against pi/2, flagged not adopted (D430 clause 5, HANDOFF_87)",NO
"reported case, shipped stride",interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9),80.0000,60.0000,59.1174,D29,86.0348,40.4057,62.2424,29.5587,59.6491,D29,29.8245,53.7079,D29,26.8539,48.4743,D29,24.2372,15.9038,yes,3.4046,yes,71.1589,80.0000,yes,"Spider Hardware, STEP model, posed at 80.0000 / -30.0000, surface proximity, lower bound, swing not included, wiring not modelled, provisional (D436 cl.3); corner the worst of 71.06 / 71.91 / 71.41 / 71.38; measured at 80.0000 and applied at every posture",58.2629,71.0600,12.7971,13.2629,95.0000,"no contact against a resting neighbour within +/-95 deg, at least 16.8 mm of clearance beyond 60 deg (D436 cl.3): never binds - the middle coxa sits at atan(s / r_nom) < 90 deg from its mount",yes,"body sweep not re-run, INFERRED unchanged (D436 cl.3): reported, not a bar",45.0503,45.0503,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),yes,"level-body, body-frame progress; CONTINUOUS WITH STANCE: the swinging foot is solved against the level body's height at that instant, so lift-off and touch-down are the stance extremes (pose (b)), not the mid-stance height (FINDING_24 sec.1, D437 cl.8), zero overshoot","calibrated at pose (c), 80.0000 deg, femurs 80.0000 deg, worst closing pair, exact B-rep, wiring not modelled, one pose, provisional (D437 cl.4): 46.5699 - 0.686 = 45.8839, ruled 45.88; least conservative pair 46.5699 - 1.192 = 45.3779, reported as 45.38; pose (b) pending (D437 cl.6)","envelope bound: femur 51.00 mm, tibia 56.00 mm wide (D436 cl.4)",-0.8297,NO,-0.3297,NO,-5.9497,NO,-10.9497,NO,"overshoot in sim/interleg.py's parameterisation: coxa carried beyond its stance extreme by o AT the contact instant, foot on the ground, decaying as cos(pi*u) to zero at mid-swing - NOT P8's excursion, which is zero at contact and peaks tau* into the swing with the foot lifted",contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,127.2774,159.3470,61.8457,60.5841,53.0046,8.8411,15.1590,26.5257,1.7498,26.4797,54.8587,1.9162,88.7652,6.3615,166.6660,333.3319,0.2009,1.4884,"level-body, body-frame progress","rows swing_duration_ms and cycle_duration_ms assume D145's half-sine; P8's peak/mean is 1.0491-1.4148 against pi/2, flagged not adopted (D430 clause 5, HANDOFF_87)",NO
