frame,leg,theta1_deg,theta2_deg,theta3_deg,d_theta1_deg,d_theta2_deg,residual_deg,residual_steps,foot_x_mm,foot_y_mm,foot_z_mm,signed_reach_mm,status
G0368,L3,0.0000,67.5000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-40.8414,-0.0000,-50.9337,-40.8414,IK_W_REFLECTED
G0369,R1,0.0000,67.5000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-40.8414,-0.0000,-50.9337,-40.8414,IK_W_REFLECTED
G0369,R2,0.0000,67.5000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-40.8414,-0.0000,-50.9337,-40.8414,IK_W_REFLECTED
G0369,R3,0.0000,67.5000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-40.8414,-0.0000,-50.9337,-40.8414,IK_W_REFLECTED
G0369,L1,0.0000,67.5000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-40.8414,-0.0000,-50.9337,-40.8414,IK_W_REFLECTED
G0369,L2,0.0000,67.5000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-40.8414,-0.0000,-50.9337,-40.8414,IK_W_REFLECTED
G0369,L3,0.0000,67.5000,121.5000,0.000000e+00,-7.629395e-06,7.629395e-06,5.651403e-05,-40.8414,-0.0000,-50.9337,-40.8414,IK_W_REFLECTED
G0370,R1,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0370,R2,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0370,R3,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0370,L1,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0370,L2,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0370,L3,0.0000,40.5000,121.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.6888,-0.0000,-82.9915,-8.6888,IK_W_REFLECTED
G0371,R1,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0371,R2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0371,R3,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0371,L1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0371,L2,-13.5000,27.0000,94.5000,-9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,-11.5012,-129.7131,49.2673,IK_OK
G0371,L3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0372,R1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0372,R2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0372,R3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0372,L1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
