frame,leg,theta1_deg,theta2_deg,theta3_deg,d_theta1_deg,d_theta2_deg,residual_deg,residual_steps,foot_x_mm,foot_y_mm,foot_z_mm,signed_reach_mm,status
G0008,R3,-13.5000,81.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,-29.0601,-160.8111,124.4835,IK_OK
G0008,L1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0008,L2,13.5000,81.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,29.0601,-160.8111,124.4835,IK_OK
G0008,L3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0009,R1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0009,R2,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0009,R3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0009,L1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0009,L2,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0009,L3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0010,R1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0010,R2,-13.5000,81.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,-29.0601,-160.8111,124.4835,IK_OK
G0010,R3,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0010,L1,13.5000,81.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,29.0601,-160.8111,124.4835,IK_OK
G0010,L2,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0010,L3,13.5000,81.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,29.0601,-160.8111,124.4835,IK_OK
G0011,R1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0011,R2,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0011,R3,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0011,L1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0011,L2,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0011,L3,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0012,R1,13.5000,81.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,29.0601,-160.8111,124.4835,IK_OK
G0012,R2,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0012,R3,13.5000,81.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,29.0601,-160.8111,124.4835,IK_OK
G0012,L1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0012,L2,13.5000,81.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,29.0601,-160.8111,124.4835,IK_OK
G0012,L3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0013,R1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0013,R2,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0013,R3,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0013,L1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0013,L2,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0013,L3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0014,R1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0014,R2,13.5000,81.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,29.0601,-160.8111,124.4835,IK_OK
G0014,R3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0014,L1,13.5000,81.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,29.0601,-160.8111,124.4835,IK_OK
G0014,L2,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0014,L3,13.5000,81.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,29.0601,-160.8111,124.4835,IK_OK
G0015,R1,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0015,R2,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0015,R3,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0015,L1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0015,L2,-13.5000,54.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,-44.0045,-105.8370,188.5000,IK_OK
G0015,L3,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0016,R1,-13.5000,81.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,-29.0601,-160.8111,124.4835,IK_OK
G0016,R2,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0016,R3,-13.5000,81.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,-29.0601,-160.8111,124.4835,IK_OK
G0016,L1,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
G0016,L2,-13.5000,81.0000,-30.0000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,121.0440,-29.0601,-160.8111,124.4835,IK_OK
G0016,L3,13.5000,54.0000,-30.0000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,183.2917,44.0045,-105.8370,188.5000,IK_OK
